.00079350,  100,.01522684,   10
   -0.909091E-01    0.272727E+00   -0.100000E+01    0.200000E+02
    0.909091E-01    0.272727E+00   -0.100000E+01    0.200000E+02
    0.272727E+00    0.272727E+00   -0.100000E+01    0.200000E+02
    0.454545E+00    0.272727E+00   -0.100000E+01    0.200000E+02
    0.636364E+00    0.272727E+00   -0.100000E+01    0.200000E+02
    0.818182E+00    0.272727E+00   -0.100000E+01    0.200000E+02
    0.100000E+01    0.272727E+00   -0.100000E+01    0.200000E+02

   -0.100000E+01    0.454545E+00   -0.100000E+01    0.200000E+02
   -0.818182E+00    0.454545E+00   -0.100000E+01    0.200000E+02
   -0.636364E+00    0.454545E+00   -0.100000E+01    0.200000E+02
   -0.454545E+00    0.454545E+00   -0.100000E+01    0.200000E+02
   -0.272727E+00    0.454545E+00   -0.100000E+01    0.200000E+02
   -0.909091E-01    0.454545E+00   -0.100000E+01    0.200000E+02
    0.909091E-01    0.454545E+00   -0.100000E+01    0.200000E+02
    0.272727E+00    0.454545E+00   -0.100000E+01    0.200000E+02
    0.454545E+00    0.454545E+00   -0.100000E+01    0.200000E+02
    0.636364E+00    0.454545E+00   -0.100000E+01    0.200000E+02
    0.818182E+00    0.454545E+00   -0.100000E+01    0.200000E+02
    0.100000E+01    0.454545E+00   -0.100000E+01    0.200000E+02

   -0.100000E+01    0.636364E+00   -0.100000E+01    0.200000E+02
   -0.818182E+00    0.636364E+00   -0.100000E+01    0.200000E+02
   -0.636364E+00    0.636364E+00   -0.100000E+01    0.200000E+02
   -0.454545E+00    0.636364E+00   -0.100000E+01    0.200000E+02
   -0.272727E+00    0.636364E+00   -0.100000E+01    0.200000E+02
   -0.909091E-01    0.636364E+00   -0.100000E+01    0.200000E+02
    0.909091E-01    0.636364E+00   -0.100000E+01    0.200000E+02
    0.272727E+00    0.636364E+00   -0.100000E+01    0.200000E+02
    0.454545E+00    0.636364E+00   -0.100000E+01    0.200000E+02
    0.636364E+00    0.636364E+00   -0.100000E+01    0.200000E+02
    0.818182E+00    0.636364E+00   -0.100000E+01    0.200000E+02
    0.100000E+01    0.636364E+00   -0.100000E+01    0.200000E+02

   -0.100000E+01    0.818182E+00   -0.100000E+01    0.200000E+02
   -0.818182E+00    0.818182E+00   -0.100000E+01    0.200000E+02
   -0.636364E+00    0.818182E+00   -0.100000E+01    0.200000E+02
   -0.454545E+00    0.818182E+00   -0.100000E+01    0.200000E+02
   -0.272727E+00    0.818182E+00   -0.100000E+01    0.200000E+02
   -0.909091E-01    0.818182E+00   -0.100000E+01    0.200000E+02
    0.909091E-01    0.818182E+00   -0.100000E+01    0.200000E+02
    0.272727E+00    0.818182E+00   -0.100000E+01    0.200000E+02
    0.454545E+00    0.818182E+00   -0.100000E+01    0.200000E+02
    0.636364E+00    0.818182E+00   -0.100000E+01    0.200000E+02
    0.818182E+00    0.818182E+00   -0.100000E+01    0.200000E+02
    0.100000E+01    0.818182E+00   -0.100000E+01    0.200000E+02

   -0.100000E+01    0.100000E+01   -0.100000E+01    0.200000E+02
   -0.818182E+00    0.100000E+01   -0.100000E+01    0.200000E+02
   -0.636364E+00    0.100000E+01   -0.100000E+01    0.200000E+02
   -0.454545E+00    0.100000E+01   -0.100000E+01    0.200000E+02
   -0.272727E+00    0.100000E+01   -0.100000E+01    0.200000E+02
   -0.909091E-01    0.100000E+01   -0.100000E+01    0.200000E+02
    0.909091E-01    0.100000E+01   -0.100000E+01    0.200000E+02
    0.272727E+00    0.100000E+01   -0.100000E+01    0.200000E+02
    0.454545E+00    0.100000E+01   -0.100000E+01    0.200000E+02
    0.636364E+00    0.100000E+01   -0.100000E+01    0.200000E+02
    0.818182E+00    0.100000E+01   -0.100000E+01    0.200000E+02
    0.100000E+01    0.100000E+01   -0.100000E+01    0.200000E+02


   -0.100000E+01   -0.100000E+01   -0.818182E+00    0.200000E+02
   -0.818182E+00   -0.100000E+01   -0.818182E+00    0.000000E+00
   -0.636364E+00   -0.100000E+01   -0.818182E+00    0.000000E+00
   -0.454545E+00   -0.100000E+01   -0.818182E+00    0.000000E+00
   -0.272727E+00   -0.100000E+01   -0.818182E+00    0.000000E+00
   -0.909091E-01   -0.100000E+01   -0.818182E+00    0.000000E+00
    0.909091E-01   -0.100000E+01   -0.818182E+00    0.000000E+00
    0.272727E+00   -0.100000E+01   -0.818182E+00    0.000000E+00
    0.454545E+00   -0.100000E+01   -0.818182E+00    0.000000E+00
    0.636364E+00   -0.100000E+01   -0.818182E+00    0.000000E+00
    0.818182E+00   -0.100000E+01   -0.818182E+00    0.000000E+00
    0.100000E+01   -0.100000E+01   -0.818182E+00    0.000000E+00

   -0.100000E+01   -0.818182E+00   -0.818182E+00    0.200000E+02
   -0.818182E+00   -0.818182E+00   -0.818182E+00    0.142834E+02
   -0.636364E+00   -0.818182E+00   -0.818182E+00    0.127081E+02
   -0.454545E+00   -0.818182E+00   -0.818182E+00    0.119288E+02
   -0.272727E+00   -0.818182E+00   -0.818182E+00    0.111232E+02
